"","date","count","","","","","","","","","","","","","","","","","","","","","","","","","","max","","","","","","","","","","","","","","","","","","","","","","","","","","min","","","","","","","","","","","","","","","","","","","","","","","","","","mean","","","","","","","","","","","","","","","","","","","","","","","","","","std","","","","","","","","","","","","","","","","","","","","","","","","",""
"161","10/13/2015","0","0","0","0","0","40258","0","3","2","0","0","3","1","3","2","6","1","0","0","0","0","0","0","0","0","0","","","","","","86399","","","","","","","","","","52142","","","","","","","","","","","","","","","","18178","","","","","","","","","","3715","","","","","","","","","","","","","","","","83102.799940385","","","","","","","","","","16086.666666667","","","","","","","","","","","","","","","","7707.9996857224","","","","","","","","","","17869.302075533","","","","","","","","","",""
"162","10/14/2015","5","15","0","0","0","18287","0","4","3","0","0","0","0","4","3","1","70","0","0","0","1","0","0","0","0","0","49577","29466","","","","86328","","","","","","","","","","","86394","","","","","","","","","","28551","28517","","","","0","","","","","","","","","","","4617","","","","","","","","","","45307.2","28861.466666667","","","","5994.2018373708","","","","","","","","","","","84920.628571429","","","","","","","","","","9367.1182975342","343.61167173479","","","","17720.287820277","","","","","","","","","","","9742.4911779685","","","","","","","","",""
"163","10/15/2015","4","1","0","0","0","1979","0","4","6","1","0","0","0","4","6","0","254","0","0","0","0","0","0","0","0","0","","","","","","80623","","","72162","","","","","","72162","","63734","","","","","","","","","","","","","","","124","","","125","","","","","","125","","67","","","","","","","","","","","","","","","55181.065184436","","","30076.333333333","","","","","","30076.333333333","","11669.622047244","","","","","","","","","","","","","","","19055.433418867","","","27739.067804572","","","","","","27739.067804572","","13755.947386956","","","","","","","","",""
"164","10/16/2015","3","0","0","0","0","2340","0","1","3","0","0","0","0","1","3","0","1","0","0","0","0","0","0","0","0","0","","","","","","85237","","","","","","","","","","","","","","","","","","","","","","","","","","13098","","","","","","","","","","","","","","","","","","","","","","","","","","45680.871367521","","","","","","","","","","","","","","","","","","","","","","","","","","24867.593606461","","","","","","","","","","","","","","","","","","","",""
"165","10/17/2015","9","0","0","0","0","2199","0","5","2","0","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","65080","","","","","82401","","82405","","","","","","82405","","","","","","","","","","","","","9556","","","","","10775","","15749","","","","","","15749","","","","","","","","","","","","","48105.444444444","","","","","50845.972260118","","57398.2","","","","","","57398.2","","","","","","","","","","","","","18861.137652002","","","","","17894.844060984","","28535.113574331","","","","","","28535.113574331","","","","","","","","","","","",""
"166","10/18/2015","0","0","0","0","1","2534","0","4","5","0","0","0","0","4","5","0","102","0","0","0","0","0","0","0","0","0","","","","","","79526","","","37594","","","","","","37594","","79516","","","","","","","","","","","","","","","9314","","","9412","","","","","","9412","","65251","","","","","","","","","","","","","","","45635.290055249","","","19023.4","","","","","","19023.4","","66063.235294118","","","","","","","","","","","","","","","28988.9225201","","","11657.902632978","","","","","","11657.902632978","","1357.3909538207","","","","","","","","",""
"167","10/19/2015","3","0","0","0","0","1355","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","","82329","","","","","","","","","","","","","","","","","","","","","","","","","","23362","","","","","","","","","","","","","","","","","","","","","","","","","","59937.498154981","","","","","","","","","","","","","","","","","","","","","","","","","","15041.146571004","","","","","","","","","","","","","","","","","","","",""
"168","10/20/2015","6","0","0","0","0","3722","0","2","14","0","0","0","0","2","15","0","2","0","0","1","0","0","0","0","0","0","76591","","","","","86329","","","86075","","","","","","86075","","","","","","","","","","","","32012","","","","","15187","","","61459","","","","","","61459","","","","","","","","","","","","57135.333333333","","","","","50907.045137023","","","65256.285714286","","","","","","65398.6","","","","","","","","","","","","19794.058084856","","","","","23094.987111569","","","8827.7445017972","","","","","","8524.4654361097","","","","","","","","","","",""
"169","10/21/2015","14","0","0","0","0","1558","0","13","10","0","0","1","0","13","11","0","5","0","0","0","0","0","0","0","0","0","58532","","","","","76657","","72995","72733","","","","","72995","73069","","72963","","","","","","","","","","501","","","","","7006","","21252","20034","","","","","21252","20034","","11367","","","","","","","","","","20645.357142857","","","","","45921.62195122","","68017.538461538","66295.1","","","","","68017.538461538","66910.909090909","","51166.8","","","","","","","","","","12761.239707122","","","","","15546.544446229","","14173.391775997","16353.247454931","","","","","14173.391775997","15647.91555738","","29249.152683454","","","","","","","","",""
"170","10/22/2015","0","0","0","1","0","1502","0","0","5","0","0","0","0","0","6","0","3","0","0","0","0","0","0","0","0","0","","","","","","81257","","","68031","","","","","","68031","","","","","","","","","","","","","","","","","4730","","","4724","","","","","","4724","","","","","","","","","","","","","","","","","20800.141810919","","","43060.2","","","","","","47215","","","","","","","","","","","","","","","","","7179.8180765802","","","28256.417867451","","","","","","27245.445468922","","","","","","","","","","",""
"171","10/23/2015","3","0","0","0","0","18","0","3","3","0","0","1","3","3","3","0","18","0","0","0","0","0","0","0","0","0","","","","","","85103","","","","","","","","","","","84357","","","","","","","","","","","","","","","2344","","","","","","","","","","","20471","","","","","","","","","","","","","","","39739.777777778","","","","","","","","","","","58781.944444444","","","","","","","","","","","","","","","23725.832249843","","","","","","","","","","","17373.116596939","","","","","","","","",""
"172","10/24/2015","0","0","0","0","0","29","0","2","0","0","0","0","10","2","0","0","1","0","0","0","0","0","0","0","0","0","","","","","","82323","","","","","","","77052","","","","","","","","","","","","","","","","","","","1584","","","","","","","4936","","","","","","","","","","","","","","","","","","","43218.034482759","","","","","","","24392.5","","","","","","","","","","","","","","","","","","","25828.506865315","","","","","","","25893.467795952","","","","","","","","","","","","",""
"173","10/25/2015","0","0","0","0","0","27","0","4","1","0","0","0","11","4","2","0","1","0","0","0","0","0","0","0","0","0","","","","","","69831","","","","","","","85176","","","","","","","","","","","","","","","","","","","162","","","","","","","8809","","","","","","","","","","","","","","","","","","","27096.925925926","","","","","","","53592.272727273","","","","","","","","","","","","","","","","","","","17871.897221672","","","","","","","20102.268200832","","","","","","","","","","","","",""
"174","10/26/2015","0","0","0","0","0","7","0","1","0","0","0","0","3","1","0","0","7","0","0","1","0","0","0","0","0","0","","","","","","82806","","","","","","","","","","","56103","","","","","","","","","","","","","","","5","","","","","","","","","","","9957","","","","","","","","","","","","","","","50923.285714286","","","","","","","","","","","42409.428571428","","","","","","","","","","","","","","","35571.849374256","","","","","","","","","","","20923.478334614","","","","","","","","",""
"175","10/27/2015","1","0","0","0","0","19","0","3","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","71479","","","","","","","","","","","","","","","","","","","","","","","","","","9993","","","","","","","","","","","","","","","","","","","","","","","","","","35846.315789474","","","","","","","","","","","","","","","","","","","","","","","","","","20258.356470719","","","","","","","","","","","","","","","","","","","",""
"176","10/28/2015","2","0","0","0","0","13","0","3","0","0","0","0","10","5","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","72611","","","","","","","77705","60049","","","","","","","","","","","","","","","","","","7525","","","","","","","58888","22777","","","","","","","","","","","","","","","","","","25079.153846154","","","","","","","70058.3","46995.4","","","","","","","","","","","","","","","","","","18989.347943194","","","","","","","7118.7312547797","18164.282708106","","","","","","","","","","","",""
"177","10/29/2015","0","0","0","0","0","24","0","4","0","0","0","0","1","4","0","0","1","0","0","0","0","0","0","0","0","0","","","","","","84648","","","","","","","","","","","","","","","","","","","","","","","","","","24594","","","","","","","","","","","","","","","","","","","","","","","","","","61481.333333333","","","","","","","","","","","","","","","","","","","","","","","","","","18372.401591297","","","","","","","","","","","","","","","","","","","",""
"178","10/30/2015","0","0","0","0","0","45","0","20","24","0","0","0","0","22","30","7","2","0","0","0","0","0","0","0","0","0","","","","","","82786","","80236","76496","","","","","80236","76524","57194","","","","","","","","","","","","","","","","2527","","8502","38234","","","","","8502","25342","10766","","","","","","","","","","","","","","","","49400.422222222","","59181.5","52275.708333333","","","","","55929.227272727","51841.933333333","50198.571428571","","","","","","","","","","","","","","","","25316.321762208","","23570.196210915","11050.018648338","","","","","25190.517195265","12676.957064264","17400.147210652","","","","","","","","","",""
"179","10/31/2015","1","0","0","0","0","6","0","11","0","0","0","0","0","11","0","0","1","0","0","0","0","0","0","0","0","0","","","","","","84696","","84695","","","","","","84695","","","","","","","","","","","","","","","","","","21804","","21821","","","","","","21821","","","","","","","","","","","","","","","","","","63449.833333333","","57562.454545455","","","","","","57562.454545455","","","","","","","","","","","","","","","","","","31871.980348994","","23991.467601477","","","","","","23991.467601477","","","","","","","","","","","",""
"180","11/1/2015","4","0","0","0","0","27","0","21","17","0","0","0","0","21","18","0","1","0","0","1","9","0","0","0","0","0","","","","","","56897","","82769","56947","","","","","82769","56947","","","","","","56822","","","","","","","","","","","1926","","1919","4561","","","","","1919","4561","","","","","","22181","","","","","","","","","","","28809.074074074","","22595.714285714","42627.647058824","","","","","22595.714285714","43420.222222222","","","","","","49082.555555555","","","","","","","","","","","22936.810317321","","24364.084481348","17186.773940814","","","","","24364.084481348","17009.314277272","","","","","","15250.921874686","","","","",""
"181","11/2/2015","0","0","0","0","0","0","0","3","0","0","0","0","0","3","0","0","1","0","0","1","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"182","11/3/2015","0","0","0","0","0","12","0","5","12","0","0","0","0","5","12","0","0","2","0","0","0","0","0","0","0","0","","","","","","78879","","55869","61511","","","","","55869","61511","","","","","","","","","","","","","","","","","10155","","10474","10211","","","","","10474","10211","","","","","","","","","","","","","","","","","44487.333333333","","35859","43161.416666667","","","","","35859","43161.416666667","","","","","","","","","","","","","","","","","20536.385768295","","16865.032522945","15473.646884349","","","","","16865.032522945","15473.646884349","","","","","","","","","","",""
"183","11/4/2015","0","0","0","0","0","3","0","3","2","0","0","0","0","3","2","2","27","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","78649","","","","","","","","","","","","","","","","","","","","","","","","","","7479","","","","","","","","","","","","","","","","","","","","","","","","","","30966.407407407","","","","","","","","","","","","","","","","","","","","","","","","","","18019.579906866","","","","","","","","",""
"184","11/5/2015","0","0","0","0","0","17","0","6","15","0","0","0","0","6","16","0","12","0","0","0","0","0","0","0","0","0","","","","","","64061","","64040","50854","","","","","64040","50854","","86250","","","","","","","","","","","","","","","2654","","9874","2609","","","","","9874","2609","","7052","","","","","","","","","","","","","","","35701.058823529","","52502.166666667","30824","","","","","52502.166666667","32075.6875","","47860","","","","","","","","","","","","","","","17771.397547993","","21365.26341908","11734.738161301","","","","","21365.26341908","12393.197863983","","29669.449818718","","","","","","","","",""
"185","11/6/2015","1","0","0","0","0","2","0","2","1","0","0","0","1","2","1","0","2","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"186","11/7/2015","0","0","0","0","0","13","0","4","6","0","0","0","1","4","8","0","3","0","0","0","0","0","0","0","0","0","","","","","","66971","","","61489","","","","","","66986","","","","","","","","","","","","","","","","","13877","","","28906","","","","","","28906","","","","","","","","","","","","","","","","","41522.153846154","","","44726.666666667","","","","","","45531.875","","","","","","","","","","","","","","","","","15145.957782228","","","14415.465260153","","","","","","15944.178556429","","","","","","","","","","",""
"187","11/8/2015","0","0","0","0","0","5","0","5","1","0","1","0","3","5","1","38","1","0","0","0","0","0","0","0","0","0","","","","","","73799","","69036","","","","","","69036","","67457","","","","","","","","","","","","","","","","1920","","24704","","","","","","24704","","14867","","","","","","","","","","","","","","","","50631.6","","54191","","","","","","54191","","60493.947368421","","","","","","","","","","","","","","","","27961.417583878","","17041.714907837","","","","","","17041.714907837","","8707.8153463003","","","","","","","","","",""
"188","11/9/2015","0","0","0","0","0","7","0","6","2","0","0","4","0","6","2","8","3","0","0","1","0","0","0","0","0","0","","","","","","80443","","80426","","","","","","80426","","54528","","","","","","","","","","","","","","","","6556","","6630","","","","","","6630","","53213","","","","","","","","","","","","","","","","59325.714285714","","57321.666666667","","","","","","57321.666666667","","53767.75","","","","","","","","","","","","","","","","28683.150633047","","30855.89751517","","","","","","30855.89751517","","579.56036293531","","","","","","","","","",""
"189","11/10/2015","0","0","0","0","1","25","0","14","23","0","0","0","0","14","23","3","0","0","0","0","0","0","0","0","0","0","","","","","","86240","","86333","86210","","","","","86333","86210","","","","","","","","","","","","","","","","","38973","","52651","11407","","","","","52651","11407","","","","","","","","","","","","","","","","","79580.4","","83379.142857143","71200.52173913","","","","","83379.142857143","71200.434782609","","","","","","","","","","","","","","","","","13780.467641436","","8878.5840421436","24003.186759772","","","","","8878.5840421436","24003.133484508","","","","","","","","","","",""
"190","11/11/2015","0","0","0","0","0","9","0","4","6","0","0","1","1","4","6","1","2","0","0","0","0","0","0","0","0","0","","","","","","59919","","","59890","","","","","","59890","","","","","","","","","","","","","","","","","10734","","","11881","","","","","","11881","","","","","","","","","","","","","","","","","30961.888888889","","","30527.5","","","","","","30527.5","","","","","","","","","","","","","","","","","18518.518275259","","","19584.19097895","","","","","","19584.19097895","","","","","","","","","","",""
"191","11/12/2015","0","0","0","0","0","13","0","6","6","0","0","4","1","6","7","1","1","0","0","0","0","0","0","0","0","0","","","","","","80534","","80527","76206","","","","","80527","76206","","","","","","","","","","","","","","","","","12535","","23238","12541","","","","","23238","12541","","","","","","","","","","","","","","","","","32505.538461538","","47111.666666667","29576.333333333","","","","","47111.666666667","27159.285714286","","","","","","","","","","","","","","","","","24681.542876596","","25380.315196362","24109.681380447","","","","","25380.315196362","22919.132391332","","","","","","","","","","",""
"192","11/13/2015","0","0","0","0","0","5","0","4","0","0","1","0","1","4","0","0","1","0","0","0","0","0","0","0","0","0","","","","","","79293","","","","","","","","","","","","","","","","","","","","","","","","","","19414","","","","","","","","","","","","","","","","","","","","","","","","","","54045.4","","","","","","","","","","","","","","","","","","","","","","","","","","27666.391033165","","","","","","","","","","","","","","","","","","","",""
"193","11/14/2015","1","0","0","0","0","4","0","1","2","0","1","0","0","1","2","0","2","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"194","11/15/2015","4","0","0","0","0","44","0","15","12","0","0","0","0","22","16","0","1","0","0","0","0","0","0","0","0","0","","","","","","70895","","70854","70773","","","","","70857","70784","","","","","","","","","","","","","","","","","13525","","17522","13496","","","","","17522","13496","","","","","","","","","","","","","","","","","59641.522727273","","66204.733333333","53874.416666667","","","","","67582.090909091","58050.75","","","","","","","","","","","","","","","","","18550.620732407","","13698.619526208","22893.15868614","","","","","11374.198872507","20980.045743515","","","","","","","","","","",""
"195","11/16/2015","0","0","0","0","0","3","0","3","3","0","0","0","8","3","3","0","3","0","0","1","0","0","0","0","0","0","","","","","","","","","","","","","71274","","","","","","","","","","","","","","","","","","","","","","","","","","7410","","","","","","","","","","","","","","","","","","","","","","","","","","59056.125","","","","","","","","","","","","","","","","","","","","","","","","","","21381.03495716","","","","","","","","","","","","",""
"196","11/17/2015","0","0","0","0","0","3","0","3","1","0","0","0","4","3","1","0","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"197","11/18/2015","1","0","0","0","0","19","0","14","6","0","0","0","2","14","7","0","4","0","0","0","0","0","0","0","0","0","","","","","","78146","","68357","66512","","","","","68357","66512","","","","","","","","","","","","","","","","","3350","","3331","3538","","","","","3331","3538","","","","","","","","","","","","","","","","","55123.421052632","","57486.571428571","33900.5","","","","","57486.571428571","37460.857142857","","","","","","","","","","","","","","","","","24279.079955376","","22883.475377238","30280.512173674","","","","","22883.475377238","29203.153633518","","","","","","","","","","",""
"198","11/19/2015","0","0","0","0","0","3","0","5","1","0","0","0","3","5","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","69976","","","","","","69976","","","","","","","","","","","","","","","","","","","","450","","","","","","450","","","","","","","","","","","","","","","","","","","","42954.8","","","","","","42954.8","","","","","","","","","","","","","","","","","","","","26055.005386681","","","","","","26055.005386681","","","","","","","","","","","",""
"199","11/20/2015","0","0","0","0","0","10","0","4","8","0","1","0","5","4","9","0","2","0","0","1","0","0","0","0","0","0","","","","","","60056","","","61287","","","","72318","","61287","","","","","","","","","","","","","","","","","20406","","","20453","","","","32930","","20453","","","","","","","","","","","","","","","","","40115.7","","","37653.125","","","","56510.2","","35784.222222222","","","","","","","","","","","","","","","","","18598.902536619","","","19200.835929998","","","","16024.674948341","","18815.506004209","","","","","","","","","","",""
"200","11/21/2015","6","0","0","0","0","21","0","3","1","0","0","0","3","3","1","0","1","0","0","1","0","0","0","0","0","0","36911","","","","","84701","","","","","","","","","","","","","","","","","","","","","36840","","","","","11956","","","","","","","","","","","","","","","","","","","","","36887.333333333","","","","","54033.380952381","","","","","","","","","","","","","","","","","","","","","25.057267741449","","","","","20510.650129814","","","","","","","","","","","","","","","","","","","",""
"201","11/22/2015","0","0","0","0","0","8","0","9","0","0","0","0","6","9","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","83142","","61767","","","","","81517","61767","","","","","","","","","","","","","","","","","","1618","","985","","","","","11572","985","","","","","","","","","","","","","","","","","","23455.625","","20840","","","","","39549.166666667","20840","","","","","","","","","","","","","","","","","","25241.291267272","","19532.731881383","","","","","32626.86567488","19532.731881383","","","","","","","","","","","",""
"202","11/23/2015","0","0","0","0","0","1","0","2","3","0","0","0","14","2","3","1","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","74013","","","","","","","","","","","","","","","","","","","","","","","","","","14806","","","","","","","","","","","","","","","","","","","","","","","","","","40721.571428571","","","","","","","","","","","","","","","","","","","","","","","","","","19680.656914123","","","","","","","","","","","","",""
"203","11/24/2015","0","0","0","0","0","4","0","2","1","0","0","0","1","2","1","0","2","0","0","2","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"204","11/25/2015","0","0","0","0","0","11","0","2","2","0","0","0","1","2","2","0","2","0","0","0","0","0","0","0","0","0","","","","","","77427","","","","","","","","","","","","","","","","","","","","","","","","","","20246","","","","","","","","","","","","","","","","","","","","","","","","","","61665.636363636","","","","","","","","","","","","","","","","","","","","","","","","","","15664.456353622","","","","","","","","","","","","","","","","","","","",""
"205","11/26/2015","0","0","0","0","0","4","0","1","13","0","0","0","0","1","13","0","1","0","0","0","22","0","0","0","0","0","","","","","","","","","64588","","","","","","64588","","","","","","34170","","","","","","","","","","","","","","13043","","","","","","13043","","","","","","33652","","","","","","","","","","","","","","31717","","","","","","31717","","","","","","33890.727272727","","","","","","","","","","","","","","11195.757008796","","","","","","11195.757008796","","","","","","167.06918493281","","","","",""
"206","11/27/2015","0","0","0","0","0","3","0","3","2","0","0","0","0","3","2","0","0","2","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"207","11/28/2015","0","0","0","0","0","53","0","39","66","0","4","0","8","40","67","0","2","0","0","0","0","0","0","0","0","0","","","","","","81981","","81973","83798","","","","72632","81973","83798","","","","","","","","","","","","","","","","","15902","","13403","15901","","","","19855","13403","15901","","","","","","","","","","","","","","","","","45114.566037736","","41616.871794872","43906.212121212","","","","43757.75","42199.65","43488.298507463","","","","","","","","","","","","","","","","","20936.445341069","","20899.88963101","21933.893461606","","","","20242.200217438","20956.871568191","22034.208671019","","","","","","","","","","",""
"208","11/29/2015","0","0","0","0","0","9","0","5","7","0","0","0","0","5","7","0","0","0","0","0","0","0","0","0","0","0","","","","","","79447","","79045","83411","","","","","79045","83411","","","","","","","","","","","","","","","","","45473","","4170","45470","","","","","4170","45470","","","","","","","","","","","","","","","","","68418.888888889","","54040.8","62360.571428571","","","","","54040.8","62360.571428571","","","","","","","","","","","","","","","","","12612.006139434","","29439.260039953","14887.977855271","","","","","29439.260039953","14887.977855271","","","","","","","","","","",""
"209","11/30/2015","0","0","0","0","0","2","0","2","5","0","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","84814","","","","","","84814","","","","","","","","","","","","","","","","","","","","5902","","","","","","5902","","","","","","","","","","","","","","","","","","","","36821","","","","","","36821","","","","","","","","","","","","","","","","","","","","32796.766517448","","","","","","32796.766517448","","","","","","","","","","",""
"210","12/1/2015","0","0","0","0","0","7","0","3","11","0","0","0","1","3","11","0","1","0","0","0","0","0","0","0","0","0","","","","","","73107","","","73099","","","","","","73099","","","","","","","","","","","","","","","","","958","","","953","","","","","","953","","","","","","","","","","","","","","","","","35009.285714286","","","44137.454545455","","","","","","44137.363636364","","","","","","","","","","","","","","","","","22995.405872437","","","31751.846665552","","","","","","31751.982386215","","","","","","","","","","",""
"211","12/2/2015","0","0","0","0","0","4","0","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"212","12/3/2015","0","0","0","0","0","4","0","6","1","0","0","1","0","6","1","0","0","0","0","1","0","0","0","0","0","0","","","","","","","","79132","","","","","","79132","","","","","","","","","","","","","","","","","","","","171","","","","","","171","","","","","","","","","","","","","","","","","","","","53172.666666667","","","","","","53172.666666667","","","","","","","","","","","","","","","","","","","","31559.540317734","","","","","","31559.540317734","","","","","","","","","","","",""
"213","12/4/2015","0","0","0","0","0","4","0","2","10","0","0","0","1","2","10","0","0","0","0","0","1","0","0","0","0","0","","","","","","","","","46020","","","","","","46020","","","","","","","","","","","","","","","","","","","","3952","","","","","","3952","","","","","","","","","","","","","","","","","","","","13245.8","","","","","","13245.8","","","","","","","","","","","","","","","","","","","","11695.214080982","","","","","","11695.214080982","","","","","","","","","","",""
"214","12/5/2015","0","0","0","0","0","1","0","2","5","0","0","1","1","2","5","0","17","0","0","0","0","0","0","0","0","0","","","","","","","","","35762","","","","","","35762","","83993","","","","","","","","","","","","","","","","","","1773","","","","","","1773","","36854","","","","","","","","","","","","","","","","","","18272.8","","","","","","18272.8","","59274.647058824","","","","","","","","","","","","","","","","","","12620.944168326","","","","","","12620.944168326","","14173.136830555","","","","","","","","",""
"215","12/6/2015","0","0","0","0","0","1","0","2","1","0","0","0","0","2","1","1","29","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","86150","","","","","","","","","","","","","","","","","","","","","","","","","","1536","","","","","","","","","","","","","","","","","","","","","","","","","","57812.620689655","","","","","","","","","","","","","","","","","","","","","","","","","","21092.961451993","","","","","","","","",""
"216","12/7/2015","0","1","0","0","0","0","0","2","0","0","0","2","1","2","0","10","33","0","0","1","0","0","0","0","0","0","","","","","","","","","","","","","","","","83625","73840","","","","","","","","","","","","","","","","","","","","","","","","","62559","347","","","","","","","","","","","","","","","","","","","","","","","","","68304.5","30118.96969697","","","","","","","","","","","","","","","","","","","","","","","","","7639.1792352902","22368.618638179","","","","","","","","",""
"217","12/8/2015","0","0","0","0","0","5","0","4","5","0","0","0","2","4","5","0","10","0","0","0","0","0","0","0","0","0","","","","","","70333","","","70333","","","","","","70333","","73230","","","","","","","","","","","","","","","53794","","","5992","","","","","","5992","","14771","","","","","","","","","","","","","","","66420","","","54145.6","","","","","","54145.6","","49325","","","","","","","","","","","","","","","7177.4812086135","","","27854.276113373","","","","","","27854.276113373","","20483.047624804","","","","","","","","",""
"218","12/9/2015","0","0","0","0","0","4","0","3","3","0","0","1","1","5","3","18","22","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","80392","","72312","83675","","","","","","","","","","","","","","","","","","","","","","","20812","","54440","5002","","","","","","","","","","","","","","","","","","","","","","","42595.8","","61486.111111111","48185.590909091","","","","","","","","","","","","","","","","","","","","","","","22296.594251141","","7654.5975564777","22980.417377077","","","","","","","","",""
"219","12/10/2015","0","0","0","0","0","2","0","1","2","0","0","3","1","2","2","21","16","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","84200","85014","","","","","","","","","","","","","","","","","","","","","","","","","44680","1495","","","","","","","","","","","","","","","","","","","","","","","","","75032.476190476","41930","","","","","","","","","","","","","","","","","","","","","","","","","13169.413645334","27095.317305148","","","","","","","","",""
"220","12/11/2015","0","0","0","0","0","3","0","1","1","0","0","0","0","1","1","1","12","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","85332","","","","","","","","","","","","","","","","","","","","","","","","","","19057","","","","","","","","","","","","","","","","","","","","","","","","","","54889.666666667","","","","","","","","","","","","","","","","","","","","","","","","","","19874.269309991","","","","","","","","",""
"221","12/12/2015","0","0","0","0","0","2","0","3","1","0","0","0","0","4","1","2","17","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","72986","","","","","","","","","","","","","","","","","","","","","","","","","","7788","","","","","","","","","","","","","","","","","","","","","","","","","","46411.411764706","","","","","","","","","","","","","","","","","","","","","","","","","","18554.589691835","","","","","","","","",""
"222","12/13/2015","1","0","0","0","0","31","0","9","21","0","0","1","1","9","24","5","24","0","0","0","1","0","0","0","0","0","","","","","","81994","","79822","83273","","","","","79822","83273","79591","83272","","","","","","","","","","","","","","","5554","","6828","6487","","","","","6828","6487","12438","6391","","","","","","","","","","","","","","","38080.35483871","","32090.111111111","40568.857142857","","","","","32090.111111111","43551.125","47919.8","33155.666666667","","","","","","","","","","","","","","","30151.34937229","","27811.826209566","30578.284538681","","","","","27811.826209566","30591.789035213","29744.011434237","24329.407438712","","","","","","","","",""
"223","12/14/2015","0","0","0","0","0","42","0","40","1","0","0","0","27","41","1","3","11","0","0","0","0","0","0","0","0","0","","","","","","85314","","85304","","","","","76651","85312","","","73731","","","","","","","","","","","","","","","30851","","27642","","","","","35995","27642","","","1772","","","","","","","","","","","","","","","43609.119047619","","41050.65","","","","","59502.777777778","42130.195121951","","","32233.090909091","","","","","","","","","","","","","","","15904.414747135","","13559.931240938","","","","","12941.178421949","15068.412868016","","","25120.232480829","","","","","","","","",""
"224","12/15/2015","0","0","0","0","0","12","0","4","2","0","0","1","20","4","2","0","8","0","0","0","0","0","0","0","0","0","","","","","","84437","","","","","","","83268","","","","38288","","","","","","","","","","","","","","","794","","","","","","","1044","","","","955","","","","","","","","","","","","","","","44926.666666667","","","","","","","13036.6","","","","23963.375","","","","","","","","","","","","","","","26779.548187965","","","","","","","19905.953871035","","","","14040.944106815","","","","","","","","",""
"225","12/16/2015","1","0","0","0","0","17","0","3","11","0","0","1","9","3","11","0","2","0","0","1","0","0","0","0","0","0","","","","","","75192","","","50538","","","","42065","","50538","","","","","","","","","","","","","","","","","7691","","","7391","","","","27503","","7391","","","","","","","","","","","","","","","","","39880","","","32270.181818182","","","","35027.555555555","","32270.090909091","","","","","","","","","","","","","","","","","23189.993006144","","","19123.621293145","","","","5389.4286364862","","19123.527030621","","","","","","","","","","",""
"226","12/17/2015","0","0","0","0","0","9","0","2","4","0","0","1","0","2","4","0","1","0","0","0","0","0","0","0","0","0","","","","","","85154","","","","","","","","","","","","","","","","","","","","","","","","","","38326","","","","","","","","","","","","","","","","","","","","","","","","","","64147.888888889","","","","","","","","","","","","","","","","","","","","","","","","","","18093.633627912","","","","","","","","","","","","","","","","","","","",""
